ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
464,"Blanchardstown Retail Park, Tjs",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.3902776335119,-6.38753097455786
465,Outside Carpenters Pub,Carpenterstown Road,,1, , ,TRUE, ,"Pub, Off Licence",53.3719344074736,-6.38885407011813
466,Blanchardstown Retail Park,NA,,3, , ,TRUE, ,Retail Park,53.3915665700112,-6.3869695067325
467,Blanchardstown Retail Park,NA,,3, , ,TRUE, ,Retail Park,53.3915862145463,-6.38693416686242
468,Blanchardstown Retail Park,NA,,3, , ,TRUE, ,Retail Park,53.3916090104275,-6.38689451885351
469,"Blanchardstown Retail Park, Heatons",NA,,2, ,TRUE,TRUE, ,Retail Park,53.3912570379199,-6.38595739780691
470,"Blanchardstown Retail Park, Heatons",NA,,2, ,TRUE,TRUE,TRUE,Retail Park,53.3912424420313,-6.38599831144399
471,"Blanchardstown Retail Park, Argos Extra",NA,,4, ,TRUE,TRUE, ,Retail Park,53.3911460735333,-6.3858174829161
472,"Blanchardstown Retail Park, Argos Extra",NA,,4, ,TRUE,TRUE,TRUE,Retail Park,53.3911305619412,-6.38585149227155
473,"Blanchardstown Retail Park, Argos Extra",NA,,4, ,TRUE,TRUE,TRUE,Retail Park,53.391117482524,-6.38588317980703
474,"Blanchardstown Retail Park, Argos Extra",NA,,4, ,TRUE,TRUE, ,Retail Park,53.3911061423222,-6.38591261234718
475,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.3921286541881,-6.38772349076132
476,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE, ,Shopping Centre,53.3921094644577,-6.38769456546391
477,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.3920943991143,-6.38766782536786
478,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.3920796547971,-6.38764182945688
479,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.3920656036329,-6.38761378504593
480,Blanchardstown Shopping Centre (Red),BLANCHARDSTOWN SHOPPING CENTRE ACCESS,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.392610070759,-6.38788963200859
